11:12:21.711{'coordinate': [175.63620588136644, 295.9597490573435], 'id': 4}
11:12:21.740{'coordinate': [110.69249028113562, 560.5409339135975], 'id': 9}
11:12:21.996{'coordinate': [261.99639417409645, 629.9682467314414], 'id': 7}
11:12:22.000{'id': 12, 'coordinate': [186.98679230497663, 762.8530586237007]}
11:12:22.001{'coordinate': [242.59043442637315, 714.3098587155995], 'id': 19}
11:12:22.005{'id': 13, 'coordinate': [254.43640043729818, 288.7854759330199]}
11:12:22.006{'id': 16, 'coordinate': [192.98781403460433, 102.77994452304446]}
11:12:22.008{'id': 8, 'coordinate': [185.9679998760944, 677.1157309058443]}
11:12:22.009{'id': 3, 'coordinate': [263.3797245229527, 675.1888359397063]}
11:12:22.011{'coordinate': [254.94594708639647, 324.25155554669914], 'id': 5}
11:12:22.018{'id': 10, 'coordinate': [245.3454403011565, 411.1369247331167]}
11:12:22.019{'coordinate': [249.9585190891124, 506.795704206653], 'id': 17}
11:12:22.128{'coordinate': [185.5225563714803, 294.45639481212214], 'id': 4}
11:12:22.133{'id': 1, 'coordinate': [143.88155652763427, 390.01415608316313]}
11:12:22.184{'id': 6, 'coordinate': [190.16701145842072, 189.57399098352178]}
11:12:22.197{'coordinate': [107.75918771155143, 570.1010456302706], 'id': 9}
11:12:22.488{'id': 13, 'coordinate': [263.9315081632442, 291.92282023555987]}
11:12:22.499{'coordinate': [161.09818883503038, 276.3505340110982], 'id': 14}
11:12:22.500{'coordinate': [264.94178916996543, 323.963213665676], 'id': 5}
11:12:22.501{'coordinate': [259.4168667113518, 503.5492199148571], 'id': 17}
11:12:22.502{'coordinate': [115.26260409885842, 403.845128448036], 'id': 11}
11:12:22.504{'id': 3, 'coordinate': [272.9473956401029, 672.2802848581454]}
11:12:22.507{'coordinate': [195.40890686159418, 292.95304056690077], 'id': 4}
11:12:22.508{'coordinate': [271.9961168028731, 630.0427272492445], 'id': 7}
11:12:22.508{'id': 10, 'coordinate': [255.14124340124545, 413.1474574048949]}
11:12:22.510{'id': 12, 'coordinate': [196.98577632843637, 762.9956015947546]}
11:12:22.512{'coordinate': [251.17431399763262, 709.1798478475687], 'id': 19}
11:12:22.514{'id': 16, 'coordinate': [202.9868766526508, 102.91686333250942]}
11:12:22.514{'id': 8, 'coordinate': [195.96553832810167, 676.8938640524477]}
11:12:22.658{'coordinate': [103.84438862582952, 579.3029121864879], 'id': 9}
11:12:22.674{'id': 6, 'coordinate': [197.77722286159104, 196.06126178094163]}
11:12:22.935{'coordinate': [170.47075145639678, 279.8369461939253], 'id': 14}
11:12:22.935{'coordinate': [268.87521433359126, 500.30273562306115], 'id': 17}
11:12:22.936{'coordinate': [124.63970478200149, 407.3193165227087], 'id': 11}
11:12:22.936{'coordinate': [274.9376312535344, 323.67487178465285], 'id': 5}
11:12:22.938{'coordinate': [281.9958394316497, 630.1172077670477], 'id': 7}
11:12:22.939{'coordinate': [205.29525735170805, 291.4496863216794], 'id': 4}
11:12:22.939{'coordinate': [259.7581935688921, 704.0498369795379], 'id': 19}
11:12:22.939{'id': 10, 'coordinate': [264.9370465013344, 415.1579900766731]}
11:12:22.939{'id': 12, 'coordinate': [206.9847603518961, 763.1381445658085]}
11:12:22.939{'id': 16, 'coordinate': [212.9859392706973, 103.05378214197438]}
11:12:22.939{'id': 8, 'coordinate': [205.96307678010893, 676.6719971990511]}
11:12:22.941{'id': 13, 'coordinate': [273.4266158891902, 295.06016453809985]}
11:12:22.942{'id': 6, 'coordinate': [205.38743426476137, 202.5485325783615]}
11:12:22.953{'coordinate': [113.71398099115271, 580.9126160543948], 'id': 9}
11:12:23.123{'coordinate': [148.2801790778256, 575.6646159006211], 'id': 18}
11:12:23.131{'id': 15, 'coordinate': [180.9968906616504, 166.61082807234715]}
11:12:23.377{'coordinate': [179.84331407776318, 283.3233583767524], 'id': 14}
11:12:23.377{'id': 8, 'coordinate': [215.9606152321162, 676.4501303456545]}
11:12:23.378{'coordinate': [155.88152254577074, 163.3835181302089], 'id': 20}
11:12:23.378{'id': 10, 'coordinate': [274.73284960142337, 417.1685227484513]}
11:12:23.379{'coordinate': [134.01680546514456, 410.79350459738134], 'id': 11}
11:12:23.380{'coordinate': [215.18160784182191, 289.946332076458], 'id': 4}
11:12:23.380{'coordinate': [291.9955620604263, 630.1916882848509], 'id': 7}
11:12:23.380{'id': 12, 'coordinate': [216.98374437535585, 763.2806875368624]}
11:12:23.381{'coordinate': [284.93347333710335, 323.3865299036297], 'id': 5}
11:12:23.382{'coordinate': [268.3420731401516, 698.9198261115071], 'id': 19}
11:12:23.383{'id': 13, 'coordinate': [282.9217236151362, 298.19750884063984]}
11:12:23.383{'id': 16, 'coordinate': [222.98500188874377, 103.19070095143934]}
11:12:23.385{'coordinate': [278.3335619558307, 497.05625133126523], 'id': 17}
11:12:23.390{'coordinate': [123.58357335647588, 582.5223199223017], 'id': 9}
11:12:23.390{'id': 6, 'coordinate': [212.9976456679317, 209.03580337578134]}
