10:39:49.787{'id': 1, 'coordinate': [112.67244948439809, 410.3277355011142]}
10:39:49.788{'id': 15, 'coordinate': [220.99481776941735, 167.01804678724523]}
10:39:49.788{'id': 4, 'coordinate': [151.56089274359317, 346.5305635293131]}
10:39:49.793{'id': 7, 'coordinate': [203.53124066286495, 559.1195191113334]}
10:39:49.796{'id': 17, 'coordinate': [217.29143038015377, 506.0179386266102]}
10:39:49.799{'coordinate': [221.55009747248988, 290.4344181970554], 'id': 13}
10:39:49.904{'coordinate': [145.60220913843946, 195.3557967511573], 'id': 20}
10:39:49.961{'coordinate': [148.2801790778256, 575.6646159006211], 'id': 18}
10:39:50.254{'coordinate': [161.09818883503038, 276.3505340110982], 'id': 14}
10:39:50.254{'coordinate': [165.97292297207989, 677.5594646126375], 'id': 8}
10:39:50.254{'id': 15, 'coordinate': [230.9942995463591, 167.11985146596973]}
10:39:50.255{'id': 5, 'coordinate': [190.76315505808006, 389.44271671082674]}
10:39:50.258{'id': 11, 'coordinate': [162.1481075145738, 421.21606882139935]}
10:39:50.258{'id': 16, 'coordinate': [171.9703890996448, 116.01513567944053]}
10:39:50.258{'id': 1, 'coordinate': [120.9113708393121, 404.6602691441305]}
10:39:50.261{'id': 17, 'coordinate': [226.32057341816915, 501.7197324892712]}
10:39:50.262{'id': 7, 'coordinate': [210.68436472915144, 552.1314710224667]}
10:39:50.269{'id': 10, 'coordinate': [225.75383410097857, 407.1158593895603]}
10:39:50.273{'id': 4, 'coordinate': [161.0169820179525, 349.7836198822444]}
10:39:50.274{'id': 12, 'coordinate': [166.2739046169001, 748.3820061112467]}
10:39:50.278{'coordinate': [173.16880237298216, 608.44143772796], 'id': 3}
10:39:50.279{'coordinate': [221.92295384606103, 719.0886402676607], 'id': 19}
10:39:50.298{'coordinate': [230.60510721973887, 294.6778600167609], 'id': 13}
10:39:50.423{'coordinate': [155.60013549375094, 195.1521583614363], 'id': 20}
10:39:50.465{'coordinate': [157.70819698560817, 572.3310774906832], 'id': 18}
10:39:50.766{'id': 5, 'coordinate': [198.07017228675562, 396.26968523425194]}
10:39:50.767{'coordinate': [175.97046142408715, 677.3375977592409], 'id': 8}
10:39:50.767{'id': 12, 'coordinate': [176.2078959457092, 747.2349157577237]}
10:39:50.767{'id': 4, 'coordinate': [170.47307129231183, 353.0366762351757]}
10:39:50.768{'id': 15, 'coordinate': [240.99378132330082, 167.22165614469426]}
10:39:50.769{'id': 10, 'coordinate': [235.54963720106753, 409.1263920613385]}
10:39:50.770{'coordinate': [142.71654446713322, 173.45139704416675], 'id': 6}
10:39:50.770{'coordinate': [167.13621489339073, 568.9975390807454], 'id': 18}
10:39:50.770{'coordinate': [170.47075145639678, 279.8369461939253], 'id': 14}
10:39:50.770{'coordinate': [176.27505713416235, 598.9361138850472], 'id': 3}
10:39:50.770{'coordinate': [230.18867692297567, 713.460334837448], 'id': 19}
10:39:50.770{'id': 16, 'coordinate': [181.8767881087034, 117.38014801393513]}
10:39:50.771{'id': 11, 'coordinate': [171.5252081977169, 424.690256896072]}
10:39:50.771{'id': 1, 'coordinate': [129.1502921942261, 398.99280278714684]}
10:39:50.772{'coordinate': [239.66011696698786, 298.92130183646645], 'id': 13}
10:39:50.773{'coordinate': [165.59806184906242, 194.9485199717153], 'id': 20}
10:39:50.773{'id': 7, 'coordinate': [217.83748879543793, 545.1434229336]}
10:39:50.774{'id': 17, 'coordinate': [235.34971645618452, 497.42152635193224]}
10:39:50.984{'coordinate': [136.60432980116497, 555.7139579760282], 'id': 9}
10:39:51.317{'coordinate': [179.84331407776318, 283.3233583767524], 'id': 14}
10:39:51.333{'id': 15, 'coordinate': [250.99326310024256, 167.32346082341877]}
10:39:51.334{'id': 4, 'coordinate': [179.92916056667116, 356.28973258810703]}
10:39:51.335{'id': 11, 'coordinate': [180.90230888085998, 428.1644449707447]}
10:39:51.335{'id': 16, 'coordinate': [191.78318711776203, 118.74516034842972]}
10:39:51.335{'id': 17, 'coordinate': [244.3788594941999, 493.12332021459326]}
10:39:51.335{'id': 7, 'coordinate': [224.99061286172443, 538.1553748447334]}
10:39:51.336{'coordinate': [185.9679998760944, 677.1157309058443], 'id': 8}
10:39:51.337{'id': 10, 'coordinate': [245.3454403011565, 411.1369247331167]}
10:39:51.337{'id': 5, 'coordinate': [205.37718951543118, 403.09665375767713]}
10:39:51.339{'coordinate': [248.71512671423685, 303.164743656172], 'id': 13}
10:39:51.340{'id': 1, 'coordinate': [137.3892135491401, 393.32533643016313]}
10:39:51.341{'coordinate': [238.4543999998903, 707.8320294072354], 'id': 19}
10:39:51.342{'id': 12, 'coordinate': [186.1418872745183, 746.0878254042007]}
10:39:51.501{'coordinate': [175.5959882043739, 194.74488158199432], 'id': 20}
10:39:51.526{'coordinate': [176.5642328011733, 565.6640006708075], 'id': 18}
10:39:51.860{'coordinate': [195.96553832810167, 676.8938640524477], 'id': 8}
10:39:51.861{'id': 16, 'coordinate': [201.68958612682064, 120.11017268292431]}
10:39:51.862{'coordinate': [145.39033653386653, 183.08731090761916], 'id': 6}
10:39:51.862{'id': 7, 'coordinate': [232.14373692801092, 531.1673267558667]}
10:39:51.865{'coordinate': [257.77013646148583, 307.40818547587753], 'id': 13}
10:39:51.865{'id': 4, 'coordinate': [189.3852498410305, 359.54278894103834]}
10:39:51.866{'id': 11, 'coordinate': [190.27940956400306, 431.63863304541735]}
10:39:51.867{'coordinate': [189.21587669912958, 286.80977055957953], 'id': 14}
10:39:51.867{'coordinate': [246.72012307680495, 702.2037239770227], 'id': 19}
10:39:51.867{'id': 10, 'coordinate': [255.14124340124545, 413.1474574048949]}
10:39:51.867{'id': 15, 'coordinate': [260.9927448771843, 167.4252655021433]}
10:39:51.867{'id': 5, 'coordinate': [212.68420674410675, 409.9236222811023]}
10:39:51.870{'coordinate': [185.59391455968537, 194.54124319227333], 'id': 20}
10:39:51.871{'id': 17, 'coordinate': [253.40800253221528, 488.8251140772543]}
10:39:51.877{'id': 12, 'coordinate': [196.0758786033274, 744.9407350506776]}
10:39:52.039{'coordinate': [185.99225070895585, 562.3304622608696], 'id': 18}
10:39:52.043{'coordinate': [146.42345466278726, 557.6073113376252], 'id': 9}
10:39:52.297{'id': 12, 'coordinate': [206.0098699321365, 743.7936446971546]}
10:39:52.297{'id': 7, 'coordinate': [239.29686099429742, 524.1792786670001]}
10:39:52.299{'coordinate': [195.59184091499685, 194.33760480255233], 'id': 20}
10:39:52.299{'coordinate': [254.9858461537196, 696.57541854681], 'id': 19}
10:39:52.300{'coordinate': [195.4202686167384, 558.9969238509317], 'id': 18}
10:39:52.301{'id': 11, 'coordinate': [199.65651024714614, 435.11282112009]}
10:39:52.301{'id': 4, 'coordinate': [198.84133911538981, 362.79584529396965]}
10:39:52.302{'coordinate': [179.38131189534255, 589.4307900421345], 'id': 3}
10:39:52.302{'id': 5, 'coordinate': [219.9912239727823, 416.7505908045275]}
10:39:52.304{'id': 10, 'coordinate': [264.9370465013344, 415.1579900766731]}
10:39:52.307{'id': 15, 'coordinate': [270.992226654126, 167.5270701808678]}
10:39:52.308{'id': 16, 'coordinate': [211.59598513587926, 121.47518501741891]}
10:39:52.310{'coordinate': [148.06412860059984, 192.72322477107156], 'id': 6}
10:39:52.310{'id': 17, 'coordinate': [262.43714557023065, 484.5269079399153]}
10:39:52.311{'coordinate': [205.96307678010893, 676.6719971990511], 'id': 8}
10:39:52.313{'coordinate': [198.58843932049598, 290.29618274240664], 'id': 14}
10:39:52.314{'coordinate': [266.8251462087348, 311.65162729558307], 'id': 13}
10:39:52.544{'coordinate': [156.24257952440956, 559.5006646992223], 'id': 9}
10:39:52.846{'id': 15, 'coordinate': [280.9917084310677, 167.62887485959234]}
10:39:52.847{'coordinate': [140.05820758759205, 536.7712382802531], 'id': 2}
10:39:52.847{'id': 16, 'coordinate': [221.50238414493788, 122.8401973519135]}
10:39:52.848{'coordinate': [150.73792066733316, 202.35913863452396], 'id': 6}
10:39:52.848{'coordinate': [275.88015595598375, 315.8950691152886], 'id': 13}
10:39:52.848{'id': 12, 'coordinate': [215.9438612609456, 742.6465543436316]}
10:39:52.848{'id': 4, 'coordinate': [208.29742838974914, 366.04890164690096]}
10:39:52.849{'coordinate': [166.06170438603186, 561.3940180608193], 'id': 9}
10:39:52.849{'coordinate': [263.25156923063423, 690.9471131165974], 'id': 19}
10:39:52.851{'id': 11, 'coordinate': [209.03361093028923, 438.5870091947627]}
10:39:52.851{'id': 5, 'coordinate': [227.29824120145787, 423.5775593279527]}
10:39:52.852{'id': 10, 'coordinate': [274.73284960142337, 417.1685227484513]}
10:39:52.852{'id': 17, 'coordinate': [271.46628860824603, 480.2287018025763]}
10:39:52.852{'id': 7, 'coordinate': [246.4499850605839, 517.1912305781334]}
10:39:52.853{'coordinate': [205.58976727030833, 194.13396641283134], 'id': 20}
10:39:52.853{'coordinate': [215.9606152321162, 676.4501303456545], 'id': 8}
10:39:52.854{'coordinate': [207.96100194186238, 293.78259492523375], 'id': 14}
10:39:53.032{'coordinate': [204.84828652452097, 555.6633854409938], 'id': 18}
10:39:53.311{'coordinate': [271.51729230754887, 685.3188076863847], 'id': 19}
10:39:53.313{'id': 15, 'coordinate': [290.9911902080094, 167.73067953831685]}
10:39:53.313{'id': 4, 'coordinate': [217.75351766410847, 369.30195799983227]}
10:39:53.315{'coordinate': [284.9351657032327, 320.13851093499414], 'id': 13}
10:39:53.316{'coordinate': [153.4117127340665, 211.99505249797636], 'id': 6}
10:39:53.317{'coordinate': [214.27630443230353, 552.3298470310559], 'id': 18}
10:39:53.317{'coordinate': [215.5876936256198, 193.93032802311035], 'id': 20}
10:39:53.317{'id': 16, 'coordinate': [231.4087831539965, 124.2052096864081]}
10:39:53.319{'id': 12, 'coordinate': [225.8778525897547, 741.4994639901086]}
10:39:53.320{'coordinate': [141.92366581439092, 546.5957008917178], 'id': 2}
10:39:53.320{'id': 7, 'coordinate': [253.6031091268704, 510.20318248926674]}
10:39:53.321{'coordinate': [225.95815368412346, 676.228263492258], 'id': 8}
10:39:53.328{'coordinate': [217.33356456322878, 297.26900710806086], 'id': 14}
10:39:53.329{'id': 10, 'coordinate': [284.5286527015123, 419.17905542022953]}
10:39:53.329{'id': 17, 'coordinate': [280.4954316462614, 475.93049566523734]}
10:39:53.508{'coordinate': [169.57826440385713, 570.7553110078984], 'id': 9}
10:39:53.538{'id': 11, 'coordinate': [208.7995570015714, 448.5842697574594]}
10:39:53.813{'id': 12, 'coordinate': [235.8118439185638, 740.3523736365855]}
10:39:53.814{'id': 5, 'coordinate': [234.60525843013343, 430.4045278513779]}
10:39:53.815{'id': 11, 'coordinate': [218.2081615038259, 451.97221328121486]}
