00:06:42.942{'coordinate': [227.97828512862245, 299.11455978625344], 'id': 7}
00:06:42.944{'coordinate': [224.80264089579163, 68.6578004702811], 'id': 1}
00:06:43.163{'coordinate': [247.75854937046745, 199.82455868761917], 'id': 9}
00:06:43.165{'coordinate': [215.80342517537446, 651.0435985026334], 'id': 2}
00:06:43.166{'coordinate': [237.76661592486573, 297.06795766974045], 'id': 7}
00:06:43.167{'coordinate': [231.80493675010925, 416.60722227606334], 'id': 5}
00:06:43.167{'coordinate': [234.7922535745175, 69.11347417924327], 'id': 1}
00:06:43.168{'id': 4, 'coordinate': [211.04776066497976, 605.6722592692412]}
00:06:43.168{'id': 8, 'coordinate': [241.10180232325672, 270.9333650371714]}
00:06:43.174{'id': 10, 'coordinate': [238.82724031187502, 137.31107871098197]}
00:06:43.383{'coordinate': [257.7464768389908, 200.31578662200013], 'id': 9}
00:06:43.383{'id': 4, 'coordinate': [220.51906054231534, 608.8807602640335]}
00:06:43.385{'coordinate': [224.49359643414317, 646.095778427765], 'id': 2}
00:06:43.385{'coordinate': [244.78186625324338, 69.56914788820544], 'id': 1}
00:06:43.385{'id': 8, 'coordinate': [251.05689243941956, 271.88003328903005]}
00:06:43.386{'coordinate': [247.55494672110902, 295.0213555532275], 'id': 7}
00:06:43.387{'coordinate': [241.49518358761472, 414.1375833898665], 'id': 5}
00:06:43.396{'id': 10, 'coordinate': [248.81860232746877, 137.72663264653107]}
00:06:43.613{'coordinate': [251.1854304251202, 411.6679445036697], 'id': 5}
00:06:43.616{'id': 4, 'coordinate': [229.99036041965093, 612.0892612588258]}
00:06:43.618{'coordinate': [254.77147893196926, 70.0248215971676], 'id': 1}
00:06:43.618{'coordinate': [267.7344043075142, 200.8070145563811], 'id': 9}
00:06:43.619{'coordinate': [233.18376769291189, 641.1479583528967], 'id': 2}
00:06:43.619{'id': 10, 'coordinate': [258.8099643430625, 138.14218658208017]}
00:06:43.769{'id': 8, 'coordinate': [261.0119825555824, 272.8267015408886]}
00:06:43.976{'id': 10, 'coordinate': [268.8013263586563, 138.55774051762927]}
00:06:43.978{'coordinate': [260.87567726262563, 409.19830561747284], 'id': 5}
00:06:43.978{'coordinate': [264.76109161069513, 70.48049530612977], 'id': 1}
00:06:43.989{'coordinate': [277.72233177603755, 201.29824249076205], 'id': 9}
00:06:44.124{'id': 4, 'coordinate': [238.74347660096862, 616.9248539956425]}
00:06:44.151{'id': 8, 'coordinate': [270.9670726717452, 273.77336979274725]}
00:06:44.344{'coordinate': [270.5659241001311, 406.728666731276], 'id': 5}
00:06:44.346{'coordinate': [287.7102592445609, 201.789470425143], 'id': 9}
00:06:44.348{'coordinate': [274.750704289421, 70.93616901509193], 'id': 1}
00:06:44.350{'id': 10, 'coordinate': [278.7926883742501, 138.97329445317837]}
00:06:44.480{'id': 4, 'coordinate': [248.25066067872046, 620.0254105443514]}
00:06:44.497{'id': 8, 'coordinate': [280.92216278790806, 274.7200380446058]}
00:06:44.699{'coordinate': [257.3432775173523, 292.97475343671454], 'id': 7}
00:06:44.699{'id': 10, 'coordinate': [288.78405038984386, 139.38884838872747]}
00:06:44.701{'coordinate': [297.6981867130843, 202.28069835952397], 'id': 9}
00:06:44.701{'id': 8, 'coordinate': [290.8772529040709, 275.66670629646444]}
00:06:44.702{'coordinate': [280.25617093763657, 404.2590278450792], 'id': 5}
00:06:44.703{'coordinate': [284.74031696814683, 71.3918427240541], 'id': 1}
00:06:44.856{'id': 4, 'coordinate': [257.7578447564723, 623.1259670930604]}
00:06:45.055{'coordinate': [289.94641777514204, 401.78938895888234], 'id': 5}
00:06:45.056{'coordinate': [307.68611418160765, 202.77192629390493], 'id': 9}
00:06:45.058{'coordinate': [267.13160831359556, 290.92815132020155], 'id': 7}
00:06:45.058{'coordinate': [294.7299296468727, 71.84751643301627], 'id': 1}
00:06:45.058{'id': 8, 'coordinate': [300.8323430202337, 276.613374548323]}
00:06:45.062{'id': 10, 'coordinate': [298.77541240543763, 139.80440232427657]}
00:06:45.198{'id': 4, 'coordinate': [267.26502883422415, 626.2265236417693]}
00:06:45.423{'coordinate': [241.8739389516806, 636.2001382780284], 'id': 2}
00:06:45.423{'id': 10, 'coordinate': [308.7667744210314, 140.21995625982566]}
00:06:45.424{'coordinate': [299.6366646126475, 399.3197500726855], 'id': 5}
00:06:45.424{'coordinate': [304.7195423255985, 72.30319014197843], 'id': 1}
00:06:45.424{'id': 8, 'coordinate': [310.78743313639654, 277.56004280018163]}
00:06:45.425{'id': 4, 'coordinate': [276.772212911976, 629.3270801904782]}
00:06:45.426{'coordinate': [276.9199391098388, 288.8815492036886], 'id': 7}
00:06:45.426{'coordinate': [317.674041650131, 203.26315422828588], 'id': 9}
00:06:45.634{'id': 10, 'coordinate': [318.7581364366252, 140.63551019537476]}
00:06:45.636{'coordinate': [250.56411021044934, 631.25231820316], 'id': 2}
